RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
-0.63,31.7,0.3,49.7,22.5,0.9,21.3,738.0,39.566964285714285,0.0
0.24,52.2,0.1,52.8,14.4,0.4,12.8,320.0,39.065873015873024,0.0
1.21,37.8,0.5,60.9,32.0,1.4,31.2,614.0,67.24722222222222,1.0
0.37,45.4,0.1,55.3,14.2,0.4,12.3,426.0,41.35575396825397,0.0
1.57,39.0,0.5,62.2,35.6,1.5,34.4,591.0,72.99761904761904,1.0
0.02,41.0,0.2,77.2,16.1,0.5,14.5,472.0,45.35823412698413,0.0
1.04,40.7,0.3,62.2,22.3,0.8,20.4,567.0,57.792162698412696,1.0
-0.57,31.5,0.1,63.1,13.1,0.5,12.1,790.0,37.16597222222222,0.0
-0.27,32.8,0.3,50.0,21.2,0.9,20.0,710.0,42.240476190476194,0.0
-3.61,65.7,1.4,45.2,60.0,4.0,66.0,1300.0,58.293253968253964,1.0
-0.66,89.7,3.7,40.1,79.2,8.4,83.3,1267.0,122.80119047619047,1.0
-1.2,65.6,0.7,49.0,44.6,1.8,48.6,1150.0,64.30178571428571,1.0
-3.25,65.3,1.1,54.1,55.3,3.6,61.8,1410.0,60.58363095238094,1.0
-7.42,43.6,0.7,44.0,40.3,2.6,47.7,1564.0,2.810019841269849,0.0
-1.63,81.1,2.3,69.7,70.3,6.2,78.1,1220.0,100.9064484126984,1.0
-5.48,50.9,0.7,58.3,41.7,2.6,50.2,1445.0,26.16775793650794,0.0
-5.61,45.4,0.6,49.9,38.8,2.1,46.0,1595.0,21.14880952380952,0.0
-8.19,37.2,0.4,54.0,29.6,1.7,35.3,1110.0,-20.668253968253964,0.0
-7.61,36.4,0.5,46.6,36.0,1.8,39.3,1755.0,-2.208333333333325,0.0
-7.66,42.5,0.6,44.1,36.9,2.3,43.2,1260.0,-8.057242063492065,0.0
-4.64,69.5,1.7,53.3,63.6,5.7,71.4,1490.0,60.01904761904761,1.0
-5.15,52.7,0.7,50.6,43.4,2.7,49.2,1520.0,29.464880952380955,0.0
-6.43,53.9,0.9,40.8,49.4,3.4,55.1,1670.0,22.431944444444447,0.0
-5.71,51.7,0.8,41.2,43.8,2.8,50.9,1870.0,28.62242063492064,0.0
-3.5,69.0,1.4,57.5,58.8,5.0,67.1,1760.0,71.31865079365079,1.0
-3.05,47.4,0.4,47.7,29.3,1.3,34.0,1500.0,36.78164682539683,0.0
-4.32,80.7,3.0,55.7,75.6,11.0,81.6,1350.0,84.29960317460316,1.0
-6.86,49.7,0.8,49.6,43.9,3.0,52.1,1235.0,8.752083333333323,0.0
-3.95,50.1,0.5,29.7,36.8,1.8,40.7,1830.0,34.463095238095235,0.0
-2.09,66.9,1.0,48.3,51.7,3.0,58.6,3180.0,97.34434523809523,1.0
-1.28,79.4,1.8,53.3,68.2,4.1,71.8,437.0,79.09662698412697,1.0
-2.78,64.1,1.1,49.0,54.2,3.0,61.2,343.0,45.10059523809524,0.0
-3.83,48.1,0.5,42.5,33.3,1.6,39.0,519.0,14.99831349206349,0.0
-6.46,38.3,0.4,58.6,27.4,1.4,34.3,453.0,-14.117658730158738,0.0
-4.61,52.6,0.8,53.9,46.9,2.6,53.9,1340.0,35.704662698412704,0.0
-2.83,82.0,3.0,39.1,75.5,9.2,80.0,1568.0,97.23382936507934,1.0
-2.82,43.6,0.3,49.6,28.2,0.8,26.5,1160.0,29.812103174603177,0.0
-3.73,65.2,1.2,51.0,56.8,4.0,62.7,1380.0,56.295634920634924,1.0
-5.94,58.3,1.2,49.2,55.5,4.3,63.2,1589.0,35.92390873015872,0.0
-3.82,73.3,1.8,52.4,65.7,6.3,72.6,1147.0,65.16220238095238,1.0
-5.84,50.1,0.7,45.5,42.2,2.6,48.3,1480.0,19.48948412698413,0.0
-6.25,38.7,0.4,35.7,32.7,1.6,37.0,1610.0,4.082242063492064,0.0
-9.82,26.3,0.2,61.2,19.9,1.0,23.1,1113.0,-45.29871031746032,0.0
-7.58,30.2,0.3,45.8,30.9,1.3,31.6,1785.0,-8.248115079365078,0.0
-6.24,64.3,1.4,41.4,59.7,5.4,66.3,1280.0,31.41339285714286,0.0
-6.06,58.3,1.1,37.8,52.2,4.0,59.1,1540.0,27.9593253968254,0.0
-3.6,50.1,0.5,41.0,38.1,1.8,40.0,1495.0,35.4360119047619,0.0
-4.26,53.5,0.8,42.1,47.8,2.5,51.4,1660.0,41.335515873015865,0.0
-4.4,53.0,0.7,48.1,44.2,2.4,50.8,1850.0,42.335119047619045,0.0
-0.52,88.9,3.7,32.0,79.2,9.9,82.8,1740.0,130.83333333333334,1.0
-0.82,77.5,1.5,31.0,60.7,4.2,66.0,1505.0,89.35803571428573,1.0
-2.95,80.8,2.7,40.5,73.8,8.9,78.9,1343.0,88.90496031746031,1.0
-6.06,55.0,0.9,38.6,48.8,3.5,56.1,1240.0,18.743650793650794,0.0
-3.77,57.2,0.8,48.6,45.4,2.6,52.0,1840.0,50.9906746031746,1.0
-1.83,73.5,1.4,41.4,60.6,4.1,66.0,3215.0,108.70972222222223,1.0
-2.8,64.1,1.0,26.8,53.7,2.9,56.3,424.0,38.41656746031746,0.0
-4.91,48.2,0.6,23.3,40.8,2.2,44.6,326.0,1.1932539682539636,0.0
-2.52,55.2,0.5,45.7,37.0,1.6,43.1,505.0,32.114087301587304,0.0
